UF,Municipios,IDH,PIB per capita,Produto Interno Bruto Anual (R$ 1.000),GINI
AL,Pariconha,"0,548",6971.88 ,73392.99,"0,5042"
AL,Paripueira,"0,605",12725.84 ,165639.53,"0,5398"
AL,Passo de Camaragibe,"0,533",15951.37 ,242971.24,"0,4939"
AL,Paulo Jacinto,"0,589",9648.08 ,73016.68,"0,5291"
AL,Penedo,"0,630",11781.43 ,748309.07,"0,5658"
AL,Piacabucu,"0,572",17910.19 ,318891.01,"0,5334"
AL,Pilar,"0,610",13783.87 ,482545.84,"0,4997"
AL,Pindoba,"0,574",12160.15 ,35398.2,"0,5868"
AL,Piranhas,"0,589",9888.19 ,246126.98,"0,6126"
AL,Poco das Trincheiras,"0,526",6439.94 ,92438.92,"0,6395"
AL,Porto Calvo,"0,586",12119.00 ,328170.43,"0,4872"
AL,Porto de Pedras,"0,541",25309.40 ,199260.88,"0,5372"
AL,Porto Real do Colegio,"0,551",8836.64 ,176891.94,"0,6208"
AL,Quebrangulo,"0,559",10739.30 ,121805.16,"0,5358"
AL,Rio Largo,"0,643",14045.95 ,1051170.72,"0,4988"
AL,Roteiro,"0,505",17204.05 ,114923.09,"0,4703"
AL,Santa Luzia do Norte,"0,597",18606.35 ,135305.39,"0,4928"
AL,Santana do Ipanema,"0,591",10724.56 ,509266.41,"0,6244"
AL,Santana do Mundau,"0,519",101744.85 ,1094265.85,"0,5044"
AL,Sao Bras,"0,572",12043.49 ,83738.42,"0,6251"
AL,Sao Jose da Laje,"0,573",12668.23 ,302200.71,"0,4915"
AL,Sao Jose da Tapera,"0,527",7068.79 ,226985.84,"0,5810"
AL,Sao Luis do Quitunde,"0,536",16709.48 ,575056.76,"0,5060"
AL,Sao Miguel dos Campos,"0,623",17123.99 ,1040710.73,"0,5254"
AL,Sao Miguel dos Milagres,"0,591",18786.77 ,148190.07,"0,4896"
AL,Sao Sebastiao,"0,549",12884.89 ,438228.14,"0,5522"
AL,Satuba,"0,660",12368.73 ,169649.5,"0,5312"
AL,Senador Rui Palmeira,"0,518",6349.60 ,87738.73,"0,5498"
AL,Tanque d'Arca,"0,555",8821.64 ,54579.49,"0,5067"
AL,Taquarana,"0,541",12761.67 ,253778.48,"0,5169"
AL,Teotonio Vilela,"0,564",11655.14 ,512359.99,"0,5223"
AL,Traipu,"0,532",7430.95 ,205331.88,"0,6452"
AL,Uniao dos Palmares,"0,593",14393.46 ,942210.26,"0,5469"
AL,Vicosa,"0,586",13185.78 ,339837.21,"0,4773"
AM,Alvaraes,"0,527",10707.18 ,169815.85,"0,5881"
AM,Amatura,"0,560",7332.40 ,83090.72,"0,6698"
AM,Anama,"0,594",8767.90 ,116341.25,"0,5807"
AM,Anori,"0,561",10626.79 ,218252.92,"0,5984"
AM,Apui,"0,637",9730.42 ,210011.63,"0,5753"
AM,Atalaia do Norte,"0,450",7330.00 ,142480.54,"0,6594"
AM,Autazes,"0,577",9196.44 ,357097.66,"0,5982"
AM,Barcelos,"0,500",6145.96 ,168178.02,"0,7367"
AM,Barreirinha,"0,574",8192.42 ,258823.05,"0,6049"
AM,Benjamin Constant,"0,574",7346.07 ,308681.68,"0,5665"
AM,Beruri,"0,506",7868.69 ,151535.22,"0,6574"
AM,Boa Vista do Ramos,"0,565",7438.55 ,139703.37,"0,6097"
AM,Boca do Acre,"0,588",12248.29 ,416147.97,"0,6427"
AM,Borba,"0,560",7487.09 ,303713.73,"0,6364"
AM,Caapiranga,"0,569",12138.88 ,156312.3,"0,5970"
AM,Canutama,"0,530",6965.24 ,107613.01,"0,6185"
AM,Carauari,"0,549",10911.10 ,306340.17,"0,5402"
AM,Careiro,"0,557",8414.97 ,314585.07,"0,6668"
AM,Careiro da Varzea,"0,568",11396.04 ,337265.75,"0,5722"
AM,Coari,"0,586",23921.53 ,2015915.53,"0,6234"
AM,Codajas,"0,563",17818.34 ,500695.48,"0,6153"
AM,Eirunepe,"0,563",14854.89 ,517544.37,"0,6237"
AM,Envira,"0,509",8007.74 ,157496.22,"0,6374"
AM,Fonte Boa,"0,530",9929.22 ,180920.36,"0,6310"
AM,Guajara,"0,532",7528.77 ,123592.26,"0,7397"
AM,Humaita,"0,605",11521.07 ,622149.17,"0,6751"
AM,Ipixuna,"0,481",5263.41 ,152286.37,"0,5863"
AM,Iranduba,"0,613",14276.35 ,679140.06,"0,6029"
AM,Itacoatiara,"0,644",18818.50 ,1881003.52,"0,5969"
AM,Itamarati,"0,477",12064.45 ,95164.42,"0,7761"
AM,Itapiranga,"0,654",12126.80 ,109917.31,"0,6732"
AM,Japura,"0,522",19244.20 ,62832.32,"0,5986"
AM,Jurua,"0,522",7255.76 ,103844.46,"0,6056"
AM,Jutai,"0,516",15198.12 ,224217.86,"0,6940"
AM,Labrea,"0,531",10941.94 ,495068.12,"0,5991"
AM,Manacapuru,"0,614",14839.87 ,1428129.61,"0,5688"
AM,Manaquiri,"0,596",8834.03 ,275153.45,"0,5766"
AM,Manaus,"0,737",36445.75 ,78192321.27,"0,6334"
AM,Manicore,"0,582",9633.66 ,528955.29,"0,6074"
AM,Maraa,"0,498",7062.77 ,128443.5,"0,6977"
AM,Maues,"0,588",7988.19 ,501298.78,"0,6452"
AM,Nhamunda,"0,586",7250.55 ,151529.17,"0,6586"
AM,Nova Olinda do Norte,"0,558",6718.55 ,246711.72,"0,6337"
AM,Novo Airao,"0,570",7168.78 ,136020.43,"0,6037"
AM,Novo Aripuana,"0,554",7900.21 ,199377.51,"0,5749"
AM,Parintins,"0,658",9890.96 ,1119340.52,"0,5947"
AM,Pauini,"0,496",8119.23 ,156936.61,"0,7268"
AM,Presidente Figueiredo,"0,647",23264.00 ,822428.93,"0,5384"
AM,Rio Preto da Eva,"0,611",11769.80 ,383424.85,"0,5566"
AM,Santa Isabel do Rio Negro,"0,479",5628.91 ,137547.99,"0,7279"
AM,Santo Antonio do Ica,"0,490",8252.20 ,181267.77,"0,6738"
AM,Sao Gabriel da Cachoeira,"0,609",7344.41 ,329147.16,"0,8082"
AM,Sao Paulo de Olivenca,"0,521",6519.38 ,251093.91,"0,6433"
AM,Sao Sebastiao do Uatuma,"0,577",8561.91 ,117169.78,"0,5781"
AM,Silves,"0,632",11130.49 ,101398.72,"0,5713"
AM,Tabatinga,"0,616",8274.57 ,533610.7,"0,6618"
AM,Tapaua,"0,502",14307.96 ,247513.44,"0,6021"
AM,Tefe,"0,639",15530.32 ,934210.62,"0,6293"
AM,Tonantins,"0,548",7191.47 ,133833.35,"0,5448"
AM,Uarini,"0,527",14026.01 ,187766.21,"0,6129"
AM,Urucara,"0,620",20171.84 ,330475.3,"0,6091"
AM,Urucurituba,"0,588",7381.23 ,166350.76,"0,5813"
AP,Amapa,"0,642",15202.70 ,137265.17,"0,6258"
AP,Calcoene,"0,643",15028.84 ,164205.12,"0,6722"
AP,Cutias,"0,628",12993.99 ,76196.76,"0,6144"
AP,Ferreira Gomes,"0,656",70268.95 ,533411.62,"0,6006"
AP,Itaubal,"0,576",12841.72 ,69178.36,"0,6368"
AP,Laranjal do Jari,"0,665",18252.70 ,902523.21,"0,5606"
AP,Macapa,"0,733",22181.72 ,10949648.92,"0,6037"
AP,Mazagao,"0,592",12172.06 ,258120.77,"0,6509"
AP,Oiapoque,"0,658",16003.40 ,426122.65,"0,6940"
AP,Pedra Branca do Amapari,"0,626",19527.69 ,311095.68,"0,6164"
AP,Porto Grande,"0,640",15834.25 ,340182.99,"0,5728"
AP,Pracuuba,"0,614",13476.77 ,67289.5,"0,6553"
AP,Santana,"0,692",17307.11 ,2070103.9,"0,5708"
AP,Serra do Navio,"0,709",14170.75 ,75190,"0,6192"
AP,Tartarugalzinho,"0,592",13365.27 ,225271.55,"0,6658"
AP,Vitoria do Jari,"0,619",12137.17 ,189400.48,"0,6018"
BA,Abaira,"0,603",6794.21 ,59564.84,"0,4742"
BA,Abare,"0,575",6957.04 ,137846.78,"0,5621"
BA,Acajutiba,"0,582",8850.48 ,133898.93,"0,5791"
BA,Adustina,"0,546",6686.58 ,112227.5,"0,5478"
BA,Agua Fria,"0,550",6524.47 ,110270.14,"0,5376"
BA,Aiquara,"0,583",9180.58 ,41110.65,"0,4393"
BA,Alagoinhas,"0,683",26272.95 ,3962801.95,"0,5738"
BA,Alcobaca,"0,608",11365.43 ,255142.61,"0,5345"
BA,Almadina,"0,563",9017.12 ,50189.26,"0,4766"
BA,Amargosa,"0,625",10143.31 ,375616.9,"0,5679"
BA,Amelia Rodrigues,"0,666",12394.40 ,312636.37,"0,4998"
BA,America Dourada,"0,561",7163.75 ,115314.93,"0,5049"
BA,Anage,"0,540",9341.52 ,169959.54,"0,4841"
BA,Andarai,"0,555",7909.70 ,104036.33,"0,6017"
BA,Andorinha,"0,588",13040.84 ,191569.88,"0,5588"
BA,Angical,"0,625",9607.87 ,134673.55,"0,5648"
BA,Anguera,"0,589",6672.76 ,74347.93,"0,4868"
BA,Antas,"0,592",6128.05 ,117002.91,"0,5620"
BA,Antonio Cardoso,"0,561",9395.63 ,109844.25,"0,4583"
BA,Antonio Goncalves,"0,598",5916.84 ,69315.79,"0,5157"
BA,Apora,"0,548",7112.08 ,125691.87,"0,5662"
BA,Apuarema,"0,552",9079.59 ,66825.81,"0,4661"
BA,Aracas,"0,570",17243.95 ,209393.32,"0,5437"
BA,Aracatu,"0,581",8289.50 ,109661.84,"0,4473"
BA,Araci,"0,534",7858.26 ,425123.77,"0,5667"
BA,Aramari,"0,588",8079.63 ,91558.42,"0,5253"
BA,Arataca,"0,559",7368.20 ,81632.29,"0,4706"
BA,Aratuipe,"0,575",7495.88 ,66061.17,"0,5290"
BA,Aurelino Leal,"0,568",9065.39 ,106735.94,"0,4588"
BA,Baianopolis,"0,589",12394.24 ,171337.97,"0,5789"
BA,Baixa Grande,"0,585",7778.36 ,159362.99,"0,5444"
BA,Banzae,"0,579",7308.28 ,96593.56,"0,4716"
BA,Barra,"0,557",6869.12 ,365649.93,"0,5997"
BA,Barra da Estiva,"0,575",12265.58 ,255283.58,"0,5456"
BA,Barra do Choca,"0,551",12464.99 ,399104.01,"0,4452"
BA,Barra do Mendes,"0,630",6808.47 ,94637.74,"0,5775"
BA,Barra do Rocha,"0,577",10851.20 ,63164.85,"0,5184"
BA,Barreiras,"0,721",30842.20 ,4744485.92,"0,5704"
BA,Barro Alto,"0,607",6203.97 ,91831.23,"0,5125"
BA,Barro Preto,"0,602",10838.37 ,62244.76,"0,4917"
BA,Barrocas,"0,610",15110.20 ,239436.21,"0,4672"
BA,Belmonte,"0,598",12442.31 ,288835.77,"0,4979"
BA,Belo Campo,"0,575",7538.82 ,130549.77,"0,4972"
