UF,Municipios,IDH,PIB per capita,Produto Interno Bruto Anual (R$ 1.000),GINI
MG,Belo Vale,"0,655",19736.26 ,152166.55,"0,4699"
MG,Berilo,"0,628",7913.03 ,94916.81,"0,4606"
MG,Berizal,"0,604",8800.27 ,41405.29,"0,4253"
MG,Bertopolis,"0,594",8023.34 ,36923.42,"0,5442"
MG,Betim,"0,749",58911.58 ,25483677.16,"0,4840"
MG,Bias Fortes,"0,620",9458.29 ,32441.94,"0,4184"
MG,Bicas,"0,744",17441.50 ,251698.27,"0,5489"
MG,Biquinhas,"0,688",16728.37 ,42356.24,"0,4126"
MG,Boa Esperanca,"0,704",20451.28 ,818685.11,"0,4508"
MG,Bocaina de Minas,"0,645",11243.64 ,57241.36,"0,4404"
MG,Bocaiuva,"0,700",16896.06 ,843823.17,"0,5168"
MG,Bom Despacho,"0,750",26205.17 ,1314608.41,"0,4933"
MG,Bom Jardim de Minas,"0,673",16680.23 ,108238.01,"0,4719"
MG,Bom Jesus da Penha,"0,735",29598.46 ,124017.54,"0,4282"
MG,Bom Jesus do Amparo,"0,683",14151.46 ,85347.46,"0,4577"
MG,Bom Jesus do Galho,"0,623",10095.97 ,151540.48,"0,5047"
MG,Bom Repouso,"0,653",11751.22 ,124069.42,"0,4503"
MG,Bom Sucesso,"0,692",16038.21 ,282240.5,"0,4556"
MG,Bonfim,"0,637",13055.70 ,89771.01,"0,7323"
MG,Bonfinopolis de Minas,"0,678",35159.24 ,194922.82,"0,4784"
MG,Bonito de Minas,"0,537",6615.31 ,73350.55,"0,5708"
MG,Borda da Mata,"0,730",15837.66 ,304114.65,"0,4633"
MG,Botelhos,"0,702",15242.62 ,228563.03,"0,4707"
MG,Botumirim,"0,602",8554.61 ,54321.76,"0,4629"
MG,Bras Pires,"0,625",8173.40 ,35750.45,"0,4487"
MG,Brasilandia de Minas,"0,674",15956.54 ,260426.65,"0,4433"
MG,Brasilia de Minas,"0,656",9564.25 ,308810.51,"0,5418"
MG,Braunas,"0,624",48070.54 ,170173.29,"0,5589"
MG,Brazopolis,"0,692",11729.62 ,232421.06,"0,5416"
MG,Brumadinho,"0,747",65381.46 ,2583875.15,"0,5720"
MG,Bueno Brandao,"0,658",13699.90 ,150835.94,"0,4456"
MG,Buenopolis,"0,669",11826.04 ,122718.8,"0,4991"
MG,Bugre,"0,627",8392.47 ,34190.93,"0,4376"
MG,Buritis,"0,672",32657.62 ,805434.95,"0,5017"
MG,Buritizeiro,"0,624",15521.68 ,434420.69,"0,4269"
MG,Cabeceira Grande,"0,648",44075.37 ,304516.71,"0,4826"
MG,Cabo Verde,"0,674",13726.10 ,193194.89,"0,4505"
MG,Cachoeira da Prata,"0,741",10662.35 ,38555.05,"0,4355"
MG,Cachoeira de Minas,"0,706",24207.36 ,278723.49,"0,4677"
MG,Cachoeira de Pajeu,"0,578",10437.83 ,97927.75,"0,5230"
MG,Cachoeira Dourada,"0,726",27221.42 ,72871.75,"0,4824"
MG,Caetanopolis,"0,706",22082.57 ,253839.14,"0,4259"
MG,Caete,"0,728",13417.84 ,595443.38,"0,4649"
MG,Caiana,"0,633",11233.33 ,61221.63,"0,4210"
MG,Cajuri,"0,617",17482.51 ,69965,"0,4354"
MG,Caldas,"0,687",16405.53 ,236518.47,"0,4926"
MG,Camacho,"0,690",13483.04 ,39559.24,"0,4607"
MG,Camanducaia,"0,689",25876.92 ,562512.54,"0,5103"
MG,Cambui,"0,751",39584.67 ,1158959.92,"0,4685"
MG,Cambuquira,"0,699",18411.33 ,235959.57,"0,5066"
MG,Campanario,"0,616",11065.15 ,41062.77,"0,4514"
MG,Campanha,"0,709",19019.38 ,315055.96,"0,5086"
MG,Campestre,"0,698",15634.91 ,329208.72,"0,5248"
MG,Campina Verde,"0,704",26023.14 ,513644.65,"0,5055"
MG,Campo Azul,"0,621",8796.61 ,33515.07,"0,4836"
MG,Campo Belo,"0,711",19088.69 ,1028231.32,"0,4752"
MG,Campo do Meio,"0,683",14629.80 ,170554.24,"0,4220"
MG,Campo Florido,"0,706",62765.31 ,503942.69,"0,5251"
MG,Campos Altos,"0,702",20257.03 ,311067.01,"0,4052"
MG,Campos Gerais,"0,682",16504.82 ,473737.8,"0,4514"
MG,Cana Verde,"0,650",11466.62 ,64350.7,"0,4336"
MG,Canaa,"0,649",13126.48 ,60106.14,"0,5035"
MG,Canapolis,"0,722",28651.44 ,344533.57,"0,5062"
MG,Candeias,"0,678",16584.42 ,246825.94,"0,4831"
MG,Cantagalo,"0,631",9445.15 ,42484.28,"0,4204"
MG,Caparao,"0,624",12993.20 ,70475.14,"0,4431"
MG,Capela Nova,"0,648",10367.75 ,48448.5,"0,4462"
MG,Capelinha,"0,653",17018.52 ,644252.92,"0,5335"
MG,Capetinga,"0,675",19989.73 ,138968.61,"0,4324"
MG,Capim Branco,"0,695",9197.33 ,89020.95,"0,4063"
MG,Capinopolis,"0,723",25482.29 ,410494.17,"0,5936"
MG,Capitao Andrade,"0,624",8755.54 ,47455.04,"0,5145"
MG,Capitao Eneas,"0,639",20419.38 ,309414.87,"0,4724"
MG,Capitolio,"0,710",29044.94 ,249815.5,"0,4049"
MG,Caputira,"0,615",8621.34 ,80066.36,"0,5718"
MG,Carai,"0,558",6553.54 ,154571.85,"0,5365"
MG,Caranaiba,"0,634",10052.80 ,32168.95,"0,4423"
MG,Carandai,"0,697",18800.32 ,476155.77,"0,4786"
MG,Carangola,"0,695",16145.40 ,532604.55,"0,4904"
MG,Caratinga,"0,706",18565.43 ,1698792.92,"0,5466"
MG,Carbonita,"0,638",17550.00 ,164899.76,"0,4701"
MG,Careacu,"0,683",20794.13 ,139757.33,"0,4077"
MG,Carlos Chagas,"0,648",17722.50 ,336851.56,"0,5448"
MG,Carmesia,"0,650",11075.92 ,28985.7,"0,4810"
MG,Carmo da Cachoeira,"0,655",18335.14 ,222918.69,"0,4575"
MG,Carmo da Mata,"0,689",15895.66 ,181830.51,"0,4043"
MG,Carmo de Minas,"0,682",13297.23 ,196386.76,"0,4798"
MG,Carmo do Cajuru,"0,710",18309.30 ,407510.16,"0,4463"
MG,Carmo do Paranaiba,"0,705",23740.39 ,719903.46,"0,5113"
MG,Carmo do Rio Claro,"0,733",22346.74 ,473303.94,"0,5201"
MG,Carmopolis de Minas,"0,700",21567.69 ,412891.9,"0,4635"
MG,Carneirinho,"0,741",31855.26 ,318106.66,"0,5397"
MG,Carrancas,"0,725",20620.54 ,83389.44,"0,5429"
MG,Carvalhopolis,"0,724",13063.90 ,46507.5,"0,4319"
MG,Carvalhos,"0,646",12977.04 ,58331.8,"0,5310"
MG,Casa Grande,"0,652",19523.13 ,44122.28,"0,4035"
MG,Cascalho Rico,"0,721",16747.73 ,51197.82,"0,4935"
MG,Cassia,"0,704",18376.70 ,325984.33,"0,4825"
MG,Cataguases,"0,751",20631.90 ,1541017.45,"0,5120"
MG,Catas Altas,"0,684",78778.67 ,419890.33,"0,3920"
MG,Catas Altas da Noruega,"0,600",9650.63 ,35022.15,"0,4437"
MG,Catuji,"0,540",9416.20 ,59943.5,"0,5546"
MG,Catuti,"0,621",7984.34 ,39985.59,"0,5054"
MG,Caxambu,"0,743",15512.40 ,336665.51,"0,6667"
MG,Cedro do Abaete,"0,678",15471.92 ,18117.62,"0,4093"
MG,Central de Minas,"0,665",10487.35 ,73589.75,"0,6067"
MG,Centralina,"0,678",24105.53 ,251300.17,"0,4041"
MG,Chacara,"0,664",11892.54 ,37116.62,"0,4403"
MG,Chale,"0,655",13191.00 ,75307.45,"0,4573"
MG,Chapada do Norte,"0,598",6326.15 ,97220.28,"0,4734"
MG,Chapada Gaucha,"0,635",14845.12 ,198880.04,"0,5108"
MG,Chiador,"0,711",11442.18 ,30916.76,"0,6223"
MG,Cipotanea,"0,579",7380.09 ,49992.72,"0,5060"
MG,Claraval,"0,698",29285.94 ,140865.37,"0,4299"
MG,Claro dos Pocoes,"0,670",8569.39 ,65041.64,"0,4279"
MG,Claudio,"0,709",24910.46 ,706609.98,"0,4053"
MG,Coimbra,"0,669",14184.62 ,106625.82,"0,4543"
MG,Coluna,"0,583",9674.27 ,86168.69,"0,5078"
MG,Comendador Gomes,"0,697",36420.11 ,113011.61,"0,4510"
MG,Comercinho,"0,593",7566.83 ,53648.84,"0,4940"
MG,Conceicao da Aparecida,"0,691",18406.82 ,188872.37,"0,4584"
MG,Conceicao da Barra de Minas,"0,685",11580.68 ,45882.65,"0,4992"
MG,Conceicao das Alagoas,"0,712",32801.19 ,899572.66,"0,5263"
MG,Conceicao das Pedras,"0,668",13521.17 ,38008.01,"0,4869"
MG,Conceicao de Ipanema,"0,676",11708.54 ,53508.04,"0,5422"
MG,Conceicao do Mato Dentro,"0,634",41556.90 ,733105.35,"0,4975"
MG,Conceicao do Para,"0,700",47184.32 ,258570.06,"0,4235"
MG,Conceicao do Rio Verde,"0,665",15525.35 ,210989.54,"0,5307"
MG,Conceicao dos Ouros,"0,703",15525.11 ,178926.86,"0,3894"
MG,Conego Marinho,"0,621",6784.62 ,51529.17,"0,5294"
MG,Confins,"0,747",163730.37 ,1089953.06,"0,4546"
MG,Congonhal,"0,712",16917.61 ,199847.76,"0,4576"
MG,Congonhas,"0,753",31529.18 ,1708755.52,"0,5052"
MG,Congonhas do Norte,"0,568",7999.10 ,40347.44,"0,4990"
MG,Conquista,"0,729",47796.50 ,330178.19,"0,4478"
MG,Conselheiro Lafaiete,"0,761",16555.58 ,2111482.55,"0,4988"
MG,Conselheiro Pena,"0,662",12474.09 ,285556.97,"0,5175"
MG,Consolacao,"0,673",13874.69 ,24724.69,"0,3731"
MG,Contagem,"0,756",42077.02 ,27731702.6,"0,4953"
MG,Coqueiral,"0,694",17043.31 ,156645.06,"0,4901"
MG,Coracao de Jesus,"0,642",7902.43 ,210141.48,"0,4975"
MG,Cordisburgo,"0,656",10708.03 ,95119.43,"0,4606"
MG,Cordislandia,"0,660",17649.10 ,62371.91,"0,4573"
MG,Corinto,"0,680",13412.98 ,319188.75,"0,5454"
MG,Coroaci,"0,626",10900.15 ,109437.49,"0,5062"
MG,Coromandel,"0,708",35895.18 ,1004418.9,"0,5130"
MG,Coronel Fabriciano,"0,755",15566.54 ,1703056.8,"0,4983"
MG,Coronel Murta,"0,627",8721.90 ,80485.72,"0,4929"
MG,Coronel Pacheco,"0,669",13117.79 ,40402.8,"0,4238"
MG,Coronel Xavier Chaves,"0,677",14376.53 ,49254,"0,5335"
MG,Corrego Danta,"0,692",44467.54 ,144119.29,"0,4815"
MG,Corrego do Bom Jesus,"0,692",9714.74 ,36080.54,"0,3851"
MG,Corrego Fundo,"0,678",26576.62 ,167166.94,"0,3288"
MG,Corrego Novo,"0,632",11212.28 ,31551.34,"0,4347"
MG,Couto de Magalhaes de Minas,"0,659",9822.62 ,43180.25,"0,4684"
MG,Crisolita,"0,585",8494.28 ,56453.02,"0,5154"
MG,Cristais,"0,692",14356.93 ,181758.79,"0,5835"
MG,Cristalia,"0,583",7380.25 ,43986.29,"0,5239"
MG,Cristiano Otoni,"0,695",14207.01 ,73095.07,"0,4465"
MG,Cristina,"0,668",15978.30 ,163905.42,"0,4427"
MG,Crucilandia,"0,651",12571.45 ,63033.26,"0,4349"
MG,Cruzeiro da Fortaleza,"0,696",23455.36 ,96964.47,"0,5939"
MG,Cruzilia,"0,695",14871.29 ,228393.32,"0,4966"
MG,Cuparaque,"0,627",10429.64 ,51731.04,"0,4842"
MG,Curral de Dentro,"0,585",8100.44 ,62016.95,"0,5476"
MG,Curvelo,"0,713",19260.82 ,1533643.11,"0,5213"
MG,Datas,"0,616",9239.66 ,49884.92,"0,4228"
MG,Delfim Moreira,"0,669",12599.82 ,101239.55,"0,4534"
MG,Delfinopolis,"0,740",23222.71 ,164834.82,"0,4757"
MG,Delta,"0,639",34012.97 ,350027.43,"0,4117"
MG,Descoberto,"0,680",12975.56 ,64825.88,"0,4591"
MG,Desterro de Entre Rios,"0,639",18821.67 ,136118.28,"0,4177"
MG,Desterro do Melo,"0,631",11808.40 ,34468.71,"0,4617"
MG,Diamantina,"0,716",15911.38 ,757652.35,"0,5713"
MG,Diogo de Vasconcelos,"0,601",8332.78 ,31781.23,"0,5082"
MG,Dionisio,"0,702",10701.34 ,84026.91,"0,4582"
MG,Divinesia,"0,657",13727.17 ,46823.37,"0,4026"
MG,Divino,"0,605",11431.25 ,227299.06,"0,5418"
MG,Divino das Laranjeiras,"0,661",9710.65 ,48397.86,"0,4505"
MG,Divinolandia de Minas,"0,623",8411.70 ,63314.86,"0,4433"
MG,Divinopolis,"0,764",27388.18 ,6462981.2,"0,4797"
MG,Divisa Alegre,"0,608",20598.03 ,138047.98,"0,5048"
MG,Divisa Nova,"0,670",14963.91 ,89723.62,"0,3952"
MG,Divisopolis,"0,609",6780.22 ,73361.97,"0,4569"
MG,Dom Bosco,"0,673",13828.14 ,51150.28,"0,4267"
MG,Dom Cavati,"0,688",10879.02 ,55450.37,"0,4487"
MG,Dom Joaquim,"0,622",9848.68 ,44141.79,"0,5453"
MG,Dom Silverio,"0,709",16333.65 ,85637.34,"0,4177"
MG,Dom Vicoso,"0,687",10346.82 ,31112.9,"0,4153"
MG,Dona Euzebia,"0,701",11994.99 ,78243.32,"0,4163"
MG,Dores de Campos,"0,686",26967.82 ,271862.58,"0,3997"
MG,Dores de Guanhaes,"0,636",23794.00 ,123371.91,"0,4926"
MG,Dores do Indaia,"0,719",16969.75 ,229787.36,"0,4710"
MG,Dores do Turvo,"0,629",10675.20 ,45785.92,"0,4669"
MG,Doresopolis,"0,692",32694.98 ,49729.06,"0,3953"
MG,Douradoquara,"0,706",28868.82 ,54995.1,"0,4930"
MG,Durande,"0,645",12655.79 ,98854.35,"0,4343"
MG,Eloi Mendes,"0,685",18399.40 ,511926.39,"0,4790"
MG,Engenheiro Caldas,"0,644",10464.07 ,115774.52,"0,5006"
MG,Engenheiro Navarro,"0,655",9135.37 ,66176.65,"0,4304"
MG,Entre Folhas,"0,634",9215.95 ,49415.91,"0,4803"
MG,Entre Rios de Minas,"0,672",13683.27 ,208177.29,"0,5007"
MG,Ervalia,"0,625",16087.86 ,302918.24,"0,4654"
MG,Esmeraldas,"0,671",9832.71 ,690256.34,"0,4437"
MG,Espera Feliz,"0,663",16890.30 ,418423.49,"0,5093"
MG,Espinosa,"0,627",10154.54 ,321127.2,"0,4586"
MG,Espirito Santo do Dourado,"0,685",16654.30 ,77825.54,"0,3689"
MG,Estiva,"0,691",22788.83 ,257992.39,"0,3957"
MG,Estrela Dalva,"0,710",12989.16 ,30667.42,"0,5966"
MG,Estrela do Indaia,"0,676",27552.91 ,96655.62,"0,4748"
MG,Estrela do Sul,"0,696",72318.96 ,573923.26,"0,4473"
MG,Eugenopolis,"0,675",14137.88 ,158598.7,"0,4578"
MG,Ewbank da Camara,"0,676",9821.09 ,38341.54,"0,3693"
MG,Extrema,"0,732",268459.18 ,9523321.08,"0,4015"
MG,Fama,"0,717",16783.84 ,39928.75,"0,4685"
MG,Faria Lemos,"0,687",16630.10 ,54247.38,"0,5150"
MG,Felicio dos Santos,"0,606",8978.15 ,43131.03,"0,4627"
MG,Felisburgo,"0,583",7701.56 ,57060.86,"0,5288"
MG,Felixlandia,"0,648",14606.74 ,222533.64,"0,4600"
MG,Fernandes Tourinho,"0,646",11626.24 ,39459.46,"0,4209"
MG,Ferros,"0,603",11604.07 ,115448.93,"0,5258"
MG,Fervedouro,"0,580",10107.06 ,110743.11,"0,4825"
MG,Florestal,"0,724",15181.52 ,112130.69,"0,4861"
MG,Formiga,"0,755",25107.98 ,1695793.18,"0,4900"
MG,Formoso,"0,640",21306.62 ,200942.71,"0,5650"
MG,Fortaleza de Minas,"0,670",14779.75 ,64838.77,"0,4256"
MG,Fortuna de Minas,"0,696",12841.53 ,37587.15,"0,4255"
MG,Francisco Badaro,"0,622",6298.48 ,65145.23,"0,4689"
MG,Francisco Dumont,"0,625",12114.01 ,62835.38,"0,4495"
MG,Francisco Sa,"0,654",13826.93 ,362002.74,"0,5353"
MG,Franciscopolis,"0,603",13052.76 ,71085.35,"0,5096"
MG,Frei Gaspar,"0,590",9219.23 ,54310.51,"0,4375"
MG,Frei Inocencio,"0,648",10640.18 ,101666.93,"0,4710"
MG,Frei Lagonegro,"0,543",8972.63 ,31126.04,"0,5062"
MG,Fronteira,"0,684",51725.91 ,915600.3,"0,4488"
MG,Fronteira dos Vales,"0,592",7863.69 ,36180.86,"0,4609"
MG,Fruta de Leite,"0,544",7283.01 ,39626.85,"0,4796"
MG,Frutal,"0,730",32188.44 ,1897894.83,"0,4830"
MG,Funilandia,"0,655",12502.35 ,53810.11,"0,4631"
MG,Galileia,"0,654",12480.00 ,85413.12,"0,5090"
MG,Gameleiras,"0,650",7872.06 ,40320.68,"0,5062"
MG,Glaucilandia,"0,679",9688.22 ,30382.26,"0,4418"
MG,Goiabeira,"0,647",11478.87 ,38201.69,"0,4867"
MG,Goiana,"0,716",15152.79 ,59702.01,"0,4705"
MG,Goncalves,"0,683",14339.91 ,62306.93,"0,4581"
MG,Gonzaga,"0,606",8321.54 ,51135.88,"0,5130"
MG,Gouveia,"0,681",10951.65 ,129590.85,"0,4554"
MG,Governador Valadares,"0,727",22278.79 ,6208764.86,"0,5377"
MG,Grao Mogol,"0,604",39725.49 ,626828.52,"0,4816"
MG,Grupiara,"0,731",20684.87 ,28731.29,"0,4063"
MG,Guanhaes,"0,686",20335.97 ,692581.99,"0,5713"
MG,Guape,"0,679",16671.12 ,237280.1,"0,3993"
MG,Guaraciaba,"0,623",8423.07 ,87035.54,"0,4872"
MG,Guaraciama,"0,677",12077.53 ,59832.07,"0,4206"
MG,Guaranesia,"0,701",23027.55 ,438099.16,"0,4084"
MG,Guarani,"0,677",14096.53 ,125501.45,"0,4936"
MG,Guarara,"0,652",11753.76 ,44875.87,"0,4165"
MG,Guarda-Mor,"0,690",56186.80 ,370327.2,"0,5353"
MG,Guaxupe,"0,751",38992.83 ,2017878.99,"0,4868"
MG,Guidoval,"0,683",12745.91 ,90559.68,"0,3874"
MG,Guimarania,"0,693",19467.38 ,155174.51,"0,4850"
MG,Guiricema,"0,674",10411.69 ,87895.5,"0,4220"
MG,Gurinhata,"0,680",21383.21 ,121969.82,"0,4896"
MG,Heliodora,"0,657",14806.02 ,96594.46,"0,4136"
MG,Iapu,"0,654",9142.32 ,99349.54,"0,5244"
MG,Ibertioga,"0,657",13205.69 ,66464.25,"0,4322"
MG,Ibia,"0,718",40152.39 ,1005215.12,"0,5166"
MG,Ibiai,"0,614",8097.31 ,67620.61,"0,5025"
MG,Ibiracatu,"0,591",7700.30 ,46009.3,"0,5129"
MG,Ibiraci,"0,706",39083.36 ,534933.95,"0,4286"
MG,Ibirite,"0,704",12599.35 ,2255471.97,"0,4501"
MG,Ibitiura de Minas,"0,674",14448.46 ,50324,"0,4059"
MG,Ibituruna,"0,675",12673.45 ,37792.22,"0,4244"
MG,Icarai de Minas,"0,624",6803.06 ,80813.61,"0,5059"
MG,Igarape,"0,698",16245.12 ,686291.25,"0,4759"
MG,Igaratinga,"0,651",34889.03 ,373626.57,"0,3784"
MG,Iguatama,"0,707",39499.43 ,314849.97,"0,4308"
MG,Ijaci,"0,714",43726.88 ,283700.02,"0,4174"
MG,Ilicinea,"0,680",15260.36 ,187748.23,"0,4000"
MG,Imbe de Minas,"0,553",9108.61 ,62530.62,"0,4439"
MG,Inconfidentes,"0,692",13437.51 ,98053.5,"0,4915"
MG,Indaiabira,"0,610",7898.12 ,58153.87,"0,4840"
MG,Indianopolis,"0,674",63068.38 ,430693.98,"0,4079"
MG,Ingai,"0,697",22398.33 ,61752.18,"0,5229"
MG,Inhapim,"0,658",12610.26 ,305218.73,"0,5330"
MG,Inhauma,"0,702",18064.01 ,112502.63,"0,4416"
MG,Inimutaba,"0,664",9894.32 ,73880.88,"0,4267"
MG,Ipaba,"0,665",8130.98 ,149919.09,"0,4056"
MG,Ipanema,"0,693",10795.26 ,212850.06,"0,5237"
MG,Ipatinga,"0,771",43757.66 ,11435803.16,"0,5236"
MG,Ipiacu,"0,696",22205.00 ,93638.48,"0,4416"
MG,Ipuiuna,"0,686",13388.44 ,134406.5,"0,5357"
MG,Irai de Minas,"0,695",34482.02 ,239443.13,"0,4839"
MG,Itabira,"0,756",55544.11 ,6620079.81,"0,5212"
MG,Itabirinha,"0,653",9841.24 ,112642.86,"0,4904"
MG,Itabirito,"0,730",97711.87 ,5010762.62,"0,4829"
MG,Itacambira,"0,628",10975.10 ,58749.73,"0,4992"
MG,Itacarambi,"0,641",10521.60 ,190882.86,"0,5100"
MG,Itaguara,"0,691",20690.42 ,274727.44,"0,4414"
MG,Itaipe,"0,552",7050.85 ,89411.81,"0,4875"
MG,Itajuba,"0,787",31052.96 ,2993163.66,"0,5571"
MG,Itamarandiba,"0,646",14800.82 ,511028.02,"0,5172"
MG,Itamarati de Minas,"0,688",13645.98 ,59128.02,"0,3959"
MG,Itambacuri,"0,634",11670.65 ,270899.02,"0,5228"
MG,Itambe do Mato Dentro,"0,634",11745.77 ,24748.33,"0,4174"
MG,Itamogi,"0,674",18075.15 ,184890.7,"0,4161"
MG,Itamonte,"0,705",56105.59 ,866270.24,"0,4702"
MG,Itanhandu,"0,739",26411.06 ,402398.84,"0,5114"
MG,Itanhomi,"0,650",9486.02 ,115843.28,"0,5689"
MG,Itaobim,"0,629",12803.43 ,270101.08,"0,5140"
MG,Itapagipe,"0,723",27161.03 ,410185.86,"0,4603"
MG,Itapecerica,"0,713",22196.09 ,483053.45,"0,4540"
MG,Itapeva,"0,720",53063.75 ,513763.22,"0,4851"
MG,Itatiaiucu,"0,677",140310.70 ,1548609.19,"0,4099"
MG,Itau de Minas,"0,776",28425.16 ,455200.58,"0,5678"
MG,Itauna,"0,758",33505.85 ,3101335.06,"0,4924"
MG,Itaverava,"0,627",9117.24 ,49871.28,"0,4780"
MG,Itinga,"0,600",8215.84 ,122876.16,"0,5079"
MG,Itueta,"0,635",11741.00 ,70903.87,"0,5219"
MG,Ituiutaba,"0,739",26615.14 ,2769757.9,"0,5093"
MG,Itumirim,"0,726",9859.10 ,59627.82,"0,5362"
MG,Iturama,"0,747",55369.21 ,2149543.37,"0,4713"
MG,Itutinga,"0,727",30465.33 ,116042.45,"0,5592"
MG,Jaboticatubas,"0,681",11070.98 ,219847.51,"0,5582"
MG,Jacinto,"0,620",8401.83 ,103586.12,"0,4899"
MG,Jacui,"0,668",14919.07 ,114593.39,"0,4124"
MG,Jacutinga,"0,715",26970.33 ,692706.03,"0,4326"
MG,Jaguaracu,"0,679",22888.69 ,71504.26,"0,4164"
MG,Jaiba,"0,638",13854.17 ,532180.12,"0,4676"
MG,Jampruca,"0,609",10150.22 ,54587.86,"0,4841"
MG,Janauba,"0,696",15761.25 ,1123225.59,"0,5405"
MG,Januaria,"0,658",10162.62 ,687277.66,"0,5663"
MG,Japaraiba,"0,721",16707.69 ,72076.97,"0,3723"
MG,Japonvar,"0,608",6998.51 ,59879.29,"0,4662"
MG,Jeceaba,"0,661",204457.11 ,1016765.2,"0,4810"
MG,Jenipapo de Minas,"0,624",9273.63 ,70896.93,"0,4589"
MG,Jequeri,"0,601",11161.25 ,139069.12,"0,5044"
MG,Jequitai,"0,643",10300.60 ,78253.65,"0,4802"
MG,Jequitiba,"0,689",17299.47 ,90216.76,"0,7832"
MG,Jequitinhonha,"0,615",9010.66 ,228014.86,"0,5509"
MG,Jesuania,"0,658",12781.58 ,61287.67,"0,4862"
MG,Joaima,"0,587",8735.99 ,134621.63,"0,5385"
MG,Joanesia,"0,626",17230.90 ,80537.25,"0,4999"
MG,Joao Monlevade,"0,758",36814.98 ,2922630.92,"0,4960"
MG,Joao Pinheiro,"0,697",30186.66 ,1465894.33,"0,5073"
MG,Joaquim Felicio,"0,637",9442.79 ,44022.3,"0,5314"
MG,Jordania,"0,628",8407.43 ,90632.11,"0,5163"
MG,Jose Goncalves de Minas,"0,632",9907.82 ,44743.73,"0,4157"
MG,Jose Raydan,"0,617",10435.41 ,51530.05,"0,4902"
MG,Josenopolis,"0,564",7664.51 ,37126.89,"0,4621"
MG,Juatuba,"0,717",45494.80 ,1204884.16,"0,4854"
MG,Juiz de Fora,"0,778",29988.91 ,16923043.91,"0,5655"
MG,Juramento,"0,669",8948.26 ,38620.68,"0,4324"
MG,Juruaia,"0,723",14673.37 ,153204.69,"0,6452"
MG,Juvenilia,"0,592",8908.64 ,51073.26,"0,5434"
MG,Ladainha,"0,541",6570.88 ,118446.6,"0,5624"
MG,Lagamar,"0,718",21875.22 ,166842.33,"0,5023"
MG,Lagoa da Prata,"0,732",35108.05 ,1811610.56,"0,4607"
MG,Lagoa dos Patos,"0,634",10117.43 ,41724.27,"0,4421"
MG,Lagoa Dourada,"0,676",17148.18 ,222120.41,"0,5345"
MG,Lagoa Formosa,"0,703",19145.32 ,344443.46,"0,5019"
MG,Lagoa Grande,"0,679",25380.96 ,239951.57,"0,5267"
MG,Lagoa Santa,"0,777",26018.35 ,1648496.58,"0,5244"
MG,Lajinha,"0,661",17239.56 ,343550.01,"0,5123"
MG,Lambari,"0,711",15494.00 ,321020.12,"0,4933"
MG,Lamim,"0,655",12227.29 ,41621.68,"0,4569"
MG,Laranjal,"0,714",11429.29 ,77559.13,"0,5139"
MG,Lassance,"0,629",19381.14 ,126403.77,"0,4577"
MG,Lavras,"0,782",25458.79 ,2615330.49,"0,5103"
MG,Leandro Ferreira,"0,710",12418.30 ,40148.37,"0,4631"
MG,Leme do Prado,"0,670",10137.51 ,49825.84,"0,4129"
MG,Leopoldina,"0,726",19300.12 ,1013874.11,"0,5040"
MG,Liberdade,"0,672",14152.29 ,72304.04,"0,6065"
MG,Lima Duarte,"0,710",16596.50 ,276680.29,"0,5921"
MG,Limeira do Oeste,"0,710",52101.89 ,389774.27,"0,4704"
MG,Lontra,"0,646",7705.26 ,69408.98,"0,5135"
MG,Luisburgo,"0,608",12880.42 ,80824.61,"0,5200"
MG,Luislandia,"0,614",7165.63 ,47866.38,"0,5867"
MG,Luminarias,"0,678",16610.24 ,90592.24,"0,4085"
MG,Luz,"0,724",27700.42 ,503372,"0,5030"
MG,Machacalis,"0,640",11512.16 ,81851.46,"0,4852"
MG,Machado,"0,715",25254.66 ,1056756.13,"0,5218"
MG,Madre de Deus de Minas,"0,699",32080.37 ,163192.83,"0,5208"
MG,Malacacheta,"0,618",10361.92 ,193767.85,"0,5399"
MG,Mamonas,"0,618",7321.17 ,47821.89,"0,4603"
MG,Manga,"0,642",10457.97 ,194455.46,"0,6867"
MG,Manhuacu,"0,689",23446.80 ,2092768,"0,5063"
MG,Manhumirim,"0,697",20869.13 ,471809.38,"0,4914"
MG,Mantena,"0,675",14175.87 ,391821.18,"0,5233"
MG,Mar de Espanha,"0,684",13446.49 ,171106.59,"0,4040"
MG,Maravilhas,"0,672",17799.36 ,140686.15,"0,3961"
MG,Maria da Fe,"0,702",11731.60 ,165837.87,"0,4863"
MG,Mariana,"0,742",45786.96 ,2753719.23,"0,5116"
MG,Marilac,"0,615",10076.14 ,41654.76,"0,4673"
MG,Mario Campos,"0,699",10246.91 ,155824.8,"0,4741"
MG,Maripa de Minas,"0,680",18523.95 ,54812.36,"0,4235"
MG,Marlieria,"0,657",10650.76 ,43071.68,"0,4115"
MG,Marmelopolis,"0,650",11612.85 ,32330.16,"0,4586"
MG,Martinho Campos,"0,669",25038.20 ,333759.23,"0,4535"
MG,Martins Soares,"0,635",24003.32 ,199203.55,"0,4046"
MG,Mata Verde,"0,581",7985.25 ,68082.24,"0,4761"
MG,Materlandia,"0,597",9734.65 ,43630.68,"0,4798"
MG,Mateus Leme,"0,704",22650.53 ,697590.92,"0,5137"
